year,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,German Federal Republic,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan
2002,0.6666667,0.6714286,0.75,0.6714286,0.8,0.76,0.6811594,0.6721311,0.6956522,0.7,0.6571429,0.6956522,0.7101449,0.6811594,0.6571429,0.6,0.7,0.6764706,0.7,0.6956522,0.7,0.6571429,0.6857143,0.78,0.71,0.6764706,0.6857143,0.7,0.6857143,0.6428571,0.7,NA,0.6521739,0.6956522,0.7142857,0.6716418,0.6811594,0.7,0.6857143,0.7142857,0.6571429,0.6857143,0.74,0.6811594,0.71,0.69,0.5857143,0.62
2003,0.6388889,0.6710526,0.81,0.6578947,0.8,0.84,0.68,0.7066667,0.6710526,0.6578947,0.6710526,0.6578947,0.6973684,0.6666667,0.6447368,0.6578947,0.65,0.6447368,0.7105263,0.6842105,0.6842105,0.6842105,0.7236842,0.86,0.88,0.6973684,0.6710526,0.6710526,0.68,0.6447368,0.71,NA,0.6973684,0.6842105,0.6891892,0.6933333,0.7162162,0.6973684,0.7066667,0.7105263,0.6447368,0.6710526,0.91,0.6621622,0.78,0.74,0.6052632,0.69
2004,0.5322581,0.6231884,0.8,0.6428571,0.84,0.82,0.6323529,0.6376812,0.6714286,0.6428571,0.6,0.6666667,0.6571429,0.6470588,0.6285714,0.5652174,0.71,0.6376812,0.6811594,0.6666667,0.6571429,0.6428571,0.6666667,0.85,0.82,0.641791,0.6571429,0.6470588,0.6268657,0.5942029,0.71,NA,0.6571429,0.6521739,0.6666667,0.6571429,0.6714286,0.6571429,0.6714286,0.6714286,0.6142857,0.6376812,0.87,0.6617647,0.76,0.73,0.5571429,0.75
2005,0.4558824,0.6712329,0.78,0.6575342,0.82,0.83,0.6575342,0.56,0.6438356,0.6575342,0.6438356,0.6712329,0.6575342,0.6666667,0.6438356,0.6027397,0.7,0.6438356,0.6849315,0.6849315,0.6575342,0.6849315,0.6805556,0.82,0.82,0.6849315,0.6712329,0.6712329,0.6527778,0.6575342,0.67,NA,0.6575342,0.6712329,0.6849315,0.6986301,0.6986301,0.6575342,0.6849315,0.7123288,0.6575342,0.6527778,0.84,0.6428571,0.76,0.75,0.5890411,0.83
2006,0.627907,0.6206897,0.79,0.6551724,0.79,0.88,0.6395349,0.5949367,0.6321839,0.6321839,0.6117647,0.6321839,0.6321839,0.6321839,0.6321839,0.5632184,0.64,0.6436782,0.6551724,0.6551724,0.6436782,0.6551724,0.6436782,0.85,0.87,0.6436782,0.6321839,0.627907,0.6162791,0.6117647,0.58,0.6282051,0.6436782,0.6395349,0.6511628,0.6321839,0.6470588,0.6352941,0.6551724,0.6436782,0.6551724,0.6436782,0.86,0.6428571,0.78,0.64,0.5977011,0.88
2007,0.641791,0.6447368,0.78,0.6315789,0.79,0.81,0.6578947,0.6231884,0.6447368,0.6533333,0.6052632,0.6266667,0.6578947,0.6447368,0.6447368,0.5866667,0.65,0.6447368,0.6710526,0.6571429,0.6578947,0.6447368,0.6447368,0.8,0.79,0.6710526,0.6578947,0.6578947,0.6447368,0.6315789,0.64,0.6266667,0.6447368,0.6578947,0.6710526,0.6578947,0.6578947,0.6578947,0.6710526,0.6447368,0.6578947,0.6315789,0.83,0.6621622,0.78,0.64,0.5657895,0.85
2008,0.6056338,0.6119403,0.73,0.5972222,0.79,0.82,0.5833333,0.6323529,0.5915493,0.5972222,0.5833333,0.5972222,0.5915493,0.5972222,0.5694444,0.5138889,0.6,0.5694444,0.6111111,0.5972222,0.5915493,0.5972222,0.5694444,0.82,0.8,0.6056338,0.5972222,0.5915493,0.5915493,0.5633803,0.61,0.5972222,0.5774648,0.6056338,0.5972222,0.5833333,0.6111111,0.6111111,0.5915493,0.5972222,0.6111111,0.5915493,0.75,0.6376812,0.76,0.59,0.5211268,0.85
2009,0.5538462,0.5671642,0.74,0.5671642,0.75,0.8,0.5671642,0.5692308,0.5606061,0.5606061,0.5223881,0.5671642,0.5671642,0.5671642,0.5671642,0.4776119,0.6,0.5820896,0.5671642,0.5757576,0.5671642,0.5522388,0.5820896,0.75,0.78,0.5820896,0.5820896,0.5606061,0.5757576,0.5223881,0.57,0.5909091,0.5671642,0.5970149,0.5671642,0.5671642,0.5671642,0.5671642,0.5671642,0.5820896,0.5671642,0.5454545,0.75,0.5625,0.75,0.56,0.4925373,0.81
2010,0.6567164,0.6515152,0.79,0.6567164,0.78,0.8,0.6119403,0.6666667,0.6363636,0.6515152,0.6268657,0.6567164,0.641791,0.6567164,0.6268657,0.5373134,0.7,0.6268657,0.6875,0.6716418,0.6268657,0.6515152,0.6507937,0.78,0.79,0.6461538,0.6567164,0.641791,0.6567164,0.6268657,0.67,0.641791,0.641791,0.6268657,0.6363636,0.6567164,0.641791,0.6567164,0.641791,0.6666667,0.6567164,0.641791,0.81,0.7230769,0.75,0.67,0.5223881,0.8
2011,0.578125,0.5846154,0.75,0.6,0.73,0.79,0.5692308,0.5846154,0.578125,0.5423729,0.5692308,0.5846154,0.5846154,0.5846154,0.5692308,0.5538462,0.52,0.5846154,0.6,0.6,0.5846154,0.6,0.5846154,0.74,0.76,0.5846154,0.5846154,0.6,0.5692308,0.5692308,0.57,0.59375,0.578125,0.5846154,0.5846154,0.6,0.5625,0.5846154,0.6,0.6,0.578125,0.6129032,0.82,0.5967742,0.75,0.57,0.5384615,0.83
2012,0.5882353,0.6029412,0.75,0.6323529,0.73,0.78,0.5970149,0.5882353,0.6037736,0.5820896,0.6029412,0.6029412,0.6176471,0.6119403,0.5882353,0.6029412,0.63,0.5882353,0.6119403,0.6029412,0.5735294,0.6323529,0.6176471,0.73,0.75,0.5970149,0.6029412,0.6176471,0.5735294,0.6029412,0.6,0.6029412,0.5882353,0.5882353,0.6029412,0.6323529,0.5882353,0.6029412,0.6029412,0.6323529,0.6323529,0.6119403,0.74,0.6268657,0.72,0.6,0.5555556,0.81
2013,0.5238095,0.53125,0.73,0.546875,0.66,0.77,0.5396825,0.5483871,0.53125,0.5238095,0.5,0.546875,0.546875,0.5396825,0.53125,0.53125,0.55,0.5396825,0.5396825,0.546875,0.515625,0.5396825,0.5625,0.66,0.67,0.5483871,0.546875,0.5625,0.5322581,0.5079365,0.51,0.546875,0.546875,0.515625,0.5396825,0.5396825,0.515625,0.546875,0.546875,0.546875,0.546875,0.546875,0.67,0.516129,0.67,0.5,0.515625,0.75
2014,0.5538462,0.5074627,0.68,0.5074627,0.72,0.75,0.5151515,0.5,0.4925373,0.5384615,0.4776119,0.5074627,0.5223881,0.5223881,0.4925373,0.5223881,0.56,0.4925373,0.5074627,0.5074627,0.5223881,0.5614035,0.5373134,0.67,0.68,0.5223881,0.5074627,0.5373134,0.3939394,0.5151515,0.52,0.5522388,0.4925373,0.4776119,0.5223881,0.5230769,0.5074627,0.5223881,0.5223881,0.5522388,0.5223881,0.5074627,0.69,0.5606061,0.65,0.54,0.4925373,0.75
2015,0.5277778,0.5068493,0.68,0.4657534,0.62,0.67,0.5205479,0.5068493,0.5342466,0.5479452,0.4366197,0.5416667,0.5342466,0.5616438,0.5068493,0.5205479,0.5,0.5211268,0.5342466,0.5479452,0.5068493,0.4794521,0.5479452,0.62,0.61,0.5616438,0.5479452,0.5342466,0.5,0.4583333,0.49,0.5205479,0.5205479,0.5068493,0.5479452,0.5342466,0.5342466,0.5342466,0.5205479,0.5555556,0.4657534,0.4794521,0.6,0.5,0.65,0.54,0.5342466,0.67
