year,target_country,super_power,allequal_model,security_model,economic_model,diplomatic_model,informational_model,sec_hierarchy,econ_hierarchy,diplo_hierarchy,info_hierarchy,arms_sales,defense_pacts,military_bases,export_dep,import_dep,fdi_dep,pfi_scores,dsp_scores,unga_voting,HOS_meetings
2014,Afghanistan,Russia,0.37,0.25,0.26,0.44,0.55,0,0.03,0.58,0.89,0,0,0,0.02,0.06,0,0.89,NA,0.66,0.5
2015,Afghanistan,Russia,0.35,0.23,0.24,0.41,0.51,0,0.02,0.55,0.83,0,0,0,0.02,0.03,0,0.83,NA,0.59,0.5
2016,Afghanistan,Russia,0.28,0.19,0.19,0.28,0.47,0,0.02,0.28,0.84,0,0,0,0.01,0.03,NA,0.84,NA,0.55,0
2017,Afghanistan,Russia,0.29,0.19,0.2,0.29,0.47,0,0.01,0.29,0.84,0,0,0,0,0.04,0,0.84,NA,0.58,0
2018,Afghanistan,Russia,NA,NA,NA,NA,NA,0,NA,0.32,0.72,0,0,0,NA,NA,NA,0.83,0.61,0.65,0
1991,Afghanistan,United States,NA,NA,NA,NA,NA,0,NA,0.14,NA,0,0,0,NA,NA,NA,NA,NA,0.14,NA
1992,Afghanistan,United States,NA,NA,NA,NA,NA,0,NA,0.17,NA,0,0,0,NA,NA,NA,NA,NA,0.17,NA
1993,Afghanistan,United States,NA,NA,NA,NA,NA,0,NA,0.19,NA,0,0,0,NA,NA,NA,NA,NA,0.19,NA
1994,Afghanistan,United States,NA,NA,NA,NA,NA,0,NA,0.25,NA,0,0,0,NA,NA,NA,NA,NA,0.25,NA
1995,Afghanistan,United States,NA,NA,NA,NA,NA,0,0.04,0.2,NA,0,0,0,0.08,0.01,NA,NA,NA,0.2,NA
1996,Afghanistan,United States,NA,NA,NA,NA,NA,0,0.1,0.24,NA,0,0,0,0.17,0.03,NA,NA,NA,0.24,NA
1997,Afghanistan,United States,NA,NA,NA,NA,NA,0,0.06,0.25,NA,0,0,0,0.09,0.02,NA,NA,NA,0.25,NA
1998,Afghanistan,United States,NA,NA,NA,NA,NA,0,0.06,0.31,NA,0,0,0,0.1,0.01,NA,NA,NA,0.31,NA
1999,Afghanistan,United States,NA,NA,NA,NA,NA,0,0.07,0.17,NA,0,0,0,0.09,0.05,NA,NA,NA,0.17,NA
2000,Afghanistan,United States,NA,NA,NA,NA,NA,0,0.01,0.21,NA,0,0,0,0,0.02,NA,NA,NA,0.21,NA
2001,Afghanistan,United States,NA,NA,NA,NA,NA,0,0.01,0.17,NA,0,0,0,0,0.02,NA,NA,NA,0.17,NA
2002,Afghanistan,United States,0.18,0.12,0.14,0.16,0.29,0,0.06,0.14,0.51,0,0,0,0.02,0.1,NA,0.51,NA,0.14,NA
2003,Afghanistan,United States,0.17,0.11,0.17,0.14,0.25,0,0.17,0.08,0.42,0,0,0,0.3,0.04,NA,0.42,NA,0.16,0
2004,Afghanistan,United States,0.17,0.11,0.13,0.12,0.3,0,0.04,0.04,0.58,0,0,0,0.02,0.07,NA,0.58,NA,0.08,0
2005,Afghanistan,United States,0.18,0.12,0.15,0.14,0.3,0,0.09,0.06,0.55,0,0,0,0.11,0.07,NA,0.55,NA,0.13,0
2006,Afghanistan,United States,0.26,0.29,0.2,0.2,0.37,0.33,0.07,0.08,0.57,1,0,0,0.02,0.12,NA,0.57,NA,0.17,0
2007,Afghanistan,United States,0.15,0.1,0.12,0.12,0.26,0,0.07,0.05,0.47,0,0,0,0.02,0.13,NA,0.47,NA,0.1,0
2008,Afghanistan,United States,0.2,0.24,0.15,0.16,0.24,0.33,0.06,0.08,0.33,1,0,0,0.03,0.09,NA,0.33,NA,0.15,0
2009,Afghanistan,United States,0.13,0.08,0.12,0.12,0.18,0,0.11,0.12,0.28,0,0,0,0.02,0.19,0.11,0.28,NA,0.23,0
2010,Afghanistan,United States,0.18,0.17,0.15,0.17,0.21,0.17,0.09,0.16,0.29,0.5,0,0,0.02,0.17,0.08,0.29,NA,0.31,0
2011,Afghanistan,United States,NA,NA,NA,NA,NA,0.17,0.08,0.19,NA,0.5,0,0,0.02,0.16,0.05,NA,NA,0.37,0
2012,Afghanistan,United States,0.2,0.19,0.15,0.19,0.27,0.17,0.05,0.16,0.42,0.5,0,0,0.02,0.09,0.03,0.42,NA,0.32,0
2013,Afghanistan,United States,0.18,0.18,0.14,0.14,0.28,0.17,0.04,0.07,0.46,0.5,0,0,0.01,0.07,0.04,0.46,NA,0.13,0
2014,Afghanistan,United States,0.27,0.29,0.21,0.21,0.36,0.33,0.1,0.08,0.54,1,0,0,0.01,0.06,0.24,0.54,NA,0.17,0
2015,Afghanistan,United States,0.24,0.21,0.2,0.19,0.36,0.17,0.11,0.08,0.59,0.5,0,0,0.02,0.05,0.27,0.59,NA,0.16,0
2016,Afghanistan,United States,0.3,0.31,0.24,0.27,0.39,0.33,0.11,0.21,0.56,1,0,0,0.01,0.1,0.23,0.56,NA,0.42,0
2017,Afghanistan,United States,0.29,0.3,0.24,0.24,0.38,0.33,0.13,0.13,0.57,1,0,0,0.01,0.15,0.22,0.57,NA,0.26,0
2018,Afghanistan,United States,NA,NA,NA,NA,NA,0.33,NA,0.07,0.6,1,0,0,NA,NA,NA,0.59,0.61,0.13,0
1991,Australia,China,NA,NA,NA,NA,NA,0,NA,0.59,NA,0,0,0,NA,NA,NA,NA,NA,0.59,NA
1992,Australia,China,NA,NA,NA,NA,NA,0,NA,0.5,NA,0,0,0,NA,NA,NA,NA,NA,0.5,NA
1993,Australia,China,NA,NA,NA,NA,NA,0,NA,0.56,NA,0,0,0,NA,NA,NA,NA,NA,0.56,NA
1994,Australia,China,NA,NA,NA,NA,NA,0,NA,0.59,NA,0,0,0,NA,NA,NA,NA,NA,0.59,NA
1995,Australia,China,NA,NA,NA,NA,NA,0,0.04,0.51,NA,0,0,0,0.03,0.06,NA,NA,NA,0.51,NA
1996,Australia,China,NA,NA,NA,NA,NA,0,0.05,0.62,NA,0,0,0,0.03,0.06,NA,NA,NA,0.62,NA
1997,Australia,China,NA,NA,NA,NA,NA,0,0.05,0.56,NA,0,0,0,0.03,0.06,NA,NA,NA,0.56,NA
1998,Australia,China,NA,NA,NA,NA,NA,0,0.05,0.55,NA,0,0,0,0.03,0.07,NA,NA,NA,0.55,NA
1999,Australia,China,NA,NA,NA,NA,NA,0,0.05,0.47,NA,0,0,0,0.04,0.07,NA,NA,NA,0.47,NA
2000,Australia,China,0.35,0.24,0.26,0.42,0.5,0,0.07,0.55,0.8,0,0,0,0.06,0.08,NA,NA,0.8,0.55,NA
2001,Australia,China,0.34,0.23,0.25,0.4,0.49,0,0.07,0.51,0.79,0,0,0,0.06,0.09,NA,NA,0.79,0.51,NA
2002,Australia,China,0.27,0.18,0.21,0.34,0.37,0,0.08,0.47,0.55,0,0,0,0.07,0.1,NA,0.3,0.8,0.47,NA
2003,Australia,China,0.36,0.24,0.27,0.48,0.43,0,0.1,0.74,0.59,0,0,0,0.08,0.11,NA,0.38,0.8,0.47,1
2004,Australia,China,0.28,0.19,0.22,0.33,0.37,0,0.12,0.45,0.56,0,0,0,0.1,0.13,NA,0.32,0.8,0.39,0.5
2005,Australia,China,0.29,0.19,0.23,0.35,0.37,0,0.13,0.47,0.54,0,0,0,0.13,0.14,NA,0.28,0.8,0.44,0.5
2006,Australia,China,0.29,0.19,0.24,0.35,0.37,0,0.14,0.47,0.54,0,0,0,0.13,0.14,NA,0.28,0.8,0.43,0.5
2007,Australia,China,0.29,0.2,0.25,0.36,0.37,0,0.15,0.49,0.52,0,0,0,0.15,0.16,NA,0.25,0.8,0.49,0.5
2008,Australia,China,0.28,0.19,0.24,0.35,0.36,0,0.15,0.48,0.51,0,0,0,0.14,0.15,NA,0.22,0.8,0.46,0.5
2009,Australia,China,0.28,0.19,0.23,0.35,0.34,0,0.13,0.5,0.47,0,0,0,0.2,0.18,0.02,0.15,0.8,0.51,0.5
2010,Australia,China,0.23,0.15,0.2,0.25,0.31,0,0.15,0.29,0.48,0,0,0,0.24,0.19,0.03,0.15,0.8,0.57,0
2011,Australia,China,0.37,0.24,0.3,0.41,0.51,0,0.16,0.5,0.8,0,0,0,0.28,0.18,0.03,NA,0.8,0.49,0.5
2012,Australia,China,0.23,0.15,0.21,0.23,0.32,0,0.17,0.24,0.5,0,0,0,0.29,0.18,0.03,0.2,0.8,0.48,0
2013,Australia,China,0.34,0.23,0.3,0.46,0.39,0,0.2,0.69,0.49,0,0,0,0.36,0.2,0.04,0.18,0.8,0.38,1
2014,Australia,China,0.34,0.23,0.3,0.46,0.39,0,0.2,0.69,0.49,0,0,0,0.34,0.21,0.05,0.18,0.8,0.37,1
2015,Australia,China,0.28,0.19,0.26,0.34,0.35,0,0.2,0.44,0.48,0,0,0,0.33,0.23,0.05,0.16,0.8,0.39,0.5
2016,Australia,China,0.29,0.19,0.26,0.35,0.35,0,0.21,0.47,0.48,0,0,0,0.33,0.23,0.05,0.16,0.8,0.43,0.5
2017,Australia,China,0.22,0.15,0.22,0.23,0.3,0,0.21,0.23,0.46,0,0,0,0.35,0.24,0.05,0.12,0.79,0.46,0
2018,Australia,China,NA,NA,NA,NA,NA,0,NA,0.18,0.46,0,0,0,NA,NA,NA,0.12,0.79,0.36,0
1991,Australia,India,NA,NA,NA,NA,NA,0,NA,0.57,NA,0,0,0,NA,NA,NA,NA,NA,0.57,NA
1992,Australia,India,NA,NA,NA,NA,NA,0,NA,0.49,NA,0,0,0,NA,NA,NA,NA,NA,0.49,NA
1993,Australia,India,NA,NA,NA,NA,NA,0,NA,0.59,NA,0,0,0,NA,NA,NA,NA,NA,0.59,NA
1994,Australia,India,NA,NA,NA,NA,NA,0,NA,0.53,NA,0,0,0,NA,NA,NA,NA,NA,0.53,NA
1995,Australia,India,NA,NA,NA,NA,NA,0,0.02,0.43,NA,0,0,0,0.03,0.01,NA,NA,NA,0.43,NA
1996,Australia,India,NA,NA,NA,NA,NA,0,0.02,0.53,NA,0,0,0,0.03,0.01,NA,NA,NA,0.53,NA
1997,Australia,India,NA,NA,NA,NA,NA,0,0.02,0.48,NA,0,0,0,0.03,0.01,NA,NA,NA,0.48,NA
1998,Australia,India,NA,NA,NA,NA,NA,0,0.02,0.42,NA,0,0,0,0.04,0.01,NA,NA,NA,0.42,NA
1999,Australia,India,NA,NA,NA,NA,NA,0,0.02,0.4,NA,0,0,0,0.03,0.01,NA,NA,NA,0.4,NA
2000,Australia,India,0.33,0.22,0.23,0.39,0.49,0,0.01,0.52,0.8,0,0,0,0.02,0.01,NA,NA,0.8,0.52,NA
2001,Australia,India,0.31,0.21,0.21,0.36,0.47,0,0.02,0.44,0.79,0,0,0,0.02,0.01,NA,NA,0.79,0.44,NA
2002,Australia,India,0.3,0.2,0.2,0.35,0.43,0,0.02,0.46,0.71,0,0,0,0.03,0.01,NA,0.62,0.8,0.46,NA
2003,Australia,India,0.29,0.19,0.2,0.34,0.42,0,0.02,0.45,0.68,0,0,0,0.04,0.01,NA,0.56,0.8,0.4,0.5
2004,Australia,India,0.28,0.19,0.2,0.32,0.41,0,0.03,0.41,0.68,0,0,0,0.05,0.01,NA,0.56,0.8,0.32,0.5
2005,Australia,India,0.3,0.2,0.21,0.35,0.43,0,0.03,0.47,0.69,0,0,0,0.06,0.01,NA,0.58,0.8,0.44,0.5
2006,Australia,India,0.3,0.2,0.21,0.35,0.43,0,0.04,0.45,0.7,0,0,0,0.06,0.01,NA,0.61,0.8,0.41,0.5
2007,Australia,India,0.22,0.14,0.16,0.21,0.36,0,0.03,0.19,0.64,0,0,0,0.05,0.01,NA,0.49,0.8,0.39,0
2008,Australia,India,0.35,0.23,0.24,0.47,0.45,0,0.04,0.71,0.65,0,0,0,0.06,0.01,NA,0.5,0.8,0.41,1
2009,Australia,India,0.35,0.23,0.25,0.46,0.45,0,0.04,0.7,0.65,0,0,0,0.08,0.01,NA,0.5,0.8,0.4,1
2010,Australia,India,0.22,0.14,0.15,0.22,0.35,0,0.03,0.22,0.61,0,0,0,0.08,0.01,0,0.42,0.8,0.44,0
2011,Australia,India,0.38,0.25,0.26,0.49,0.52,0,0.02,0.71,0.8,0,0,0,0.05,0.01,0,NA,0.8,0.41,1
2012,Australia,India,0.34,0.23,0.23,0.47,0.43,0,0.02,0.72,0.62,0,0,0,0.05,0.01,0,0.44,0.8,0.43,1
2013,Australia,India,0.19,0.13,0.13,0.19,0.32,0,0.02,0.17,0.58,0,0,0,0.04,0.01,0,0.36,0.8,0.34,0
2014,Australia,India,0.32,0.21,0.22,0.44,0.41,0,0.02,0.68,0.58,0,0,0,0.05,0.01,0,0.37,0.8,0.35,1
2015,Australia,India,0.2,0.13,0.14,0.19,0.33,0,0.02,0.18,0.59,0,0,0,0.05,0.02,0,0.38,0.8,0.37,0
2016,Australia,India,0.32,0.21,0.22,0.43,0.41,0,0.02,0.66,0.6,0,0,0,0.05,0.02,0,0.4,0.8,0.32,1
2017,Australia,India,0.32,0.21,0.22,0.44,0.4,0,0.03,0.68,0.57,0,0,0,0.06,0.02,0,0.35,0.79,0.35,1
2018,Australia,India,NA,NA,NA,NA,NA,0,NA,0.18,0.57,0,0,0,NA,NA,NA,0.34,0.79,0.36,0
1991,Australia,Russia,NA,NA,NA,NA,NA,0,NA,0.61,NA,0,0,0,NA,NA,NA,NA,NA,0.61,NA
1992,Australia,Russia,NA,NA,NA,NA,NA,0,NA,0.74,NA,0,0,0,NA,NA,NA,NA,NA,0.74,NA
1993,Australia,Russia,NA,NA,NA,NA,NA,0,NA,0.67,NA,0,0,0,NA,NA,NA,NA,NA,0.67,NA
1994,Australia,Russia,NA,NA,NA,NA,NA,0,NA,0.66,NA,0,0,0,NA,NA,NA,NA,NA,0.66,NA
1995,Australia,Russia,NA,NA,NA,NA,NA,0,0,0.56,NA,0,0,0,0,0,NA,NA,NA,0.56,NA
1996,Australia,Russia,NA,NA,NA,NA,NA,0,0,0.67,NA,0,0,0,0,0,NA,NA,NA,0.67,NA
1997,Australia,Russia,NA,NA,NA,NA,NA,0,0,0.73,NA,0,0,0,0,0,NA,NA,NA,0.73,NA
1998,Australia,Russia,NA,NA,NA,NA,NA,0,0,0.66,NA,0,0,0,0,0,NA,NA,NA,0.66,NA
1999,Australia,Russia,NA,NA,NA,NA,NA,0,0,0.61,NA,0,0,0,0,0,NA,NA,NA,0.61,NA
2000,Australia,Russia,0.36,0.24,0.24,0.46,0.51,0,0,0.64,0.8,0,0,0,0,0,NA,NA,0.8,0.64,NA
2001,Australia,Russia,0.35,0.23,0.23,0.43,0.49,0,0,0.59,0.79,0,0,0,0,0,NA,NA,0.79,0.59,NA
2002,Australia,Russia,0.3,0.2,0.2,0.4,0.4,0,0,0.61,0.59,0,0,0,0,0,NA,0.39,0.8,0.61,NA
2003,Australia,Russia,0.22,0.15,0.15,0.24,0.36,0,0,0.26,0.62,0,0,0,0,0,NA,0.45,0.8,0.53,0
2004,Australia,Russia,0.21,0.14,0.14,0.22,0.35,0,0,0.22,0.62,0,0,0,0,0,NA,0.45,0.8,0.45,0
2005,Australia,Russia,0.21,0.14,0.14,0.22,0.34,0,0,0.24,0.6,0,0,0,0,0,NA,0.4,0.8,0.47,0
2006,Australia,Russia,0.2,0.13,0.13,0.2,0.33,0,0,0.21,0.58,0,0,0,0,0,NA,0.37,0.8,0.41,0
2007,Australia,Russia,0.27,0.18,0.18,0.34,0.37,0,0,0.49,0.57,0,0,0,0,0,NA,0.35,0.8,0.48,0.5
2008,Australia,Russia,0.26,0.17,0.18,0.33,0.37,0,0,0.46,0.58,0,0,0,0,0,NA,0.37,0.8,0.42,0.5
2009,Australia,Russia,0.25,0.17,0.17,0.33,0.34,0,0,0.49,0.51,0,0,0,0,0,0,0.23,0.8,0.48,0.5
2010,Australia,Russia,0.27,0.18,0.18,0.36,0.37,0,0,0.53,0.56,0,0,0,0,0,0,0.32,0.8,0.56,0.5
2011,Australia,Russia,0.33,0.22,0.22,0.39,0.49,0,0,0.51,0.8,0,0,0,0,0,0,NA,0.8,0.53,0.5
